rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,2.91,0.23,92.71
2,Spain,UEFA,2.97,0.41,90.41
3,Germany,UEFA,3.27,0.58,90.03
4,France,UEFA,2.9,0.41,89.95
5,Argentina,CONMEBOL,2.62,0.39,87.96
6,Portugal,UEFA,2.85,0.54,87.35
7,England,UEFA,2.59,0.46,86.26
8,Netherlands,UEFA,2.76,0.62,85.06
9,Belgium,UEFA,2.82,0.66,84.95
10,Italy,UEFA,2.44,0.48,84.36
11,Switzerland,UEFA,2.46,0.58,82.52
12,Denmark,UEFA,2.4,0.6,81.45
13,Croatia,UEFA,2.5,0.68,81.2
14,Mexico,CONCACAF,2.2,0.56,79.87
15,USA,CONCACAF,2.17,0.56,79.33
16,Uruguay,CONMEBOL,2.19,0.6,78.76
17,Morocco,CAF,2.27,0.66,78.56
18,Colombia,CONMEBOL,2.0,0.49,78.52
19,Czech Republic,UEFA,2.27,0.68,78.03
20,Ecuador,CONMEBOL,2.07,0.57,77.6
21,Serbia,UEFA,2.29,0.78,76.22
22,Canada,CONCACAF,2.1,0.66,75.93
23,Sweden,UEFA,2.23,0.78,75.38
24,Chile,CONMEBOL,2.02,0.64,75.28
25,Japan,AFC,1.89,0.56,75.04
26,Algeria,CAF,2.43,0.93,75.01
27,Austria,UEFA,2.1,0.79,73.08
28,South Korea,AFC,1.72,0.54,72.58
29,Iran,AFC,1.75,0.57,72.33
30,Poland,UEFA,2.06,0.81,72.0
31,Senegal,CAF,1.92,0.72,71.75
32,Peru,CONMEBOL,2.0,0.79,71.53
33,Australia,AFC,2.04,0.82,71.44
34,Wales,UEFA,1.78,0.71,69.51
35,Tunisia,CAF,1.7,0.69,68.38
36,Norway,UEFA,1.8,0.77,68.32
37,Mali,CAF,1.5,0.54,68.31
38,Ivory Coast,CAF,1.78,0.77,67.86
39,Egypt,CAF,1.63,0.67,67.72
40,Scotland,UEFA,1.7,0.74,67.22
41,Venezuela,CONMEBOL,1.86,0.87,67.21
42,Cameroon,CAF,1.73,0.77,66.95
43,Russia,UEFA,1.87,0.9,66.62
44,Ukraine,UEFA,1.81,0.86,66.47
45,Saudi Arabia,AFC,1.68,0.8,65.39
46,Greece,UEFA,1.55,0.7,65.12
47,Turkey,UEFA,1.95,1.03,65.0
48,Paraguay,CONMEBOL,1.65,0.82,64.38
49,Rep of Ireland,UEFA,1.51,0.75,63.01
50,Nigeria,CAF,1.56,0.87,61.3
51,Bosnia and Herzegovina,UEFA,1.65,0.94,61.25
52,North Macedonia,UEFA,1.69,0.98,61.22
53,Romania,UEFA,1.64,0.97,60.2
54,Panama,CONCACAF,1.61,0.97,59.78
55,Slovakia,UEFA,1.68,1.05,59.32
56,Basque Country,UEFA,1.63,1.0,59.32
57,Finland,UEFA,1.56,0.95,59.19
58,Bolivia,CONMEBOL,1.8,1.18,58.83
59,Guatemala,CONCACAF,1.52,0.93,58.79
60,Ghana,CAF,1.31,0.79,57.7
61,Burkina Faso,CAF,1.4,0.89,57.24
62,Northern Ireland,UEFA,1.33,0.84,56.65
63,Bahrain,AFC,1.66,1.16,56.41
64,Jamaica,CONCACAF,1.47,1.01,55.89
65,Slovenia,UEFA,1.4,0.94,55.85
66,Qatar,AFC,1.58,1.13,55.46
67,South Africa,CAF,1.31,0.92,54.28
68,Israel,UEFA,1.8,1.42,53.57
69,Congo DR,CAF,1.34,0.98,53.35
70,Montenegro,UEFA,1.35,1.01,53.0
71,Hungary,UEFA,1.41,1.09,52.58
72,Costa Rica,CONCACAF,1.22,0.91,52.29
73,Albania,UEFA,1.24,0.96,51.62
74,Uganda,CAF,1.24,0.96,51.52
75,Georgia,UEFA,1.33,1.06,51.34
76,Equatorial Guinea,CAF,1.17,0.91,50.98
77,Gabon,CAF,1.32,1.09,50.54
78,Uzbekistan,AFC,1.43,1.2,50.41
79,Iceland,UEFA,1.4,1.19,50.14
80,Haiti,CONCACAF,1.37,1.18,49.5
81,United Arab Emirates,AFC,1.28,1.09,49.28
82,Honduras,CONCACAF,1.36,1.2,48.93
83,Zambia,CAF,1.54,1.42,48.04
84,Bulgaria,UEFA,1.24,1.14,47.33
85,Oman,AFC,1.22,1.13,47.02
86,Cape Verde Islands,CAF,1.13,1.04,46.71
87,Kosovo,UEFA,1.36,1.29,46.69
88,Togo,CAF,1.22,1.14,46.66
89,China PR,AFC,1.35,1.31,46.17
90,Benin,CAF,0.96,0.9,45.72
91,Angola,CAF,1.2,1.17,45.6
92,New Zealand,OFC,1.3,1.29,45.6
93,Zimbabwe,CAF,1.18,1.18,44.93
94,Armenia,UEFA,1.32,1.37,44.15
95,Namibia,CAF,1.07,1.11,43.78
96,Ethiopia,CAF,1.19,1.25,43.73
97,Belarus,UEFA,1.24,1.32,43.38
98,Guinea,CAF,1.18,1.25,43.35
99,Iraq,AFC,1.03,1.09,43.11
100,El Salvador,CONCACAF,0.93,0.98,42.99
101,Curacao,CONCACAF,1.17,1.28,42.62
102,Suriname,CONCACAF,1.28,1.42,42.37
103,Congo,CAF,1.05,1.2,41.08
104,Libya,CAF,1.08,1.26,40.72
105,Tanzania,CAF,1.1,1.29,40.37
106,Kenya,CAF,1.09,1.3,40.21
107,Estonia,UEFA,1.1,1.32,39.91
108,Luxembourg,UEFA,1.12,1.39,39.03
109,Jordan,AFC,1.02,1.28,38.82
110,Botswana,CAF,0.81,1.08,37.55
111,Gambia,CAF,1.03,1.39,36.76
112,Comoros,CAF,1.1,1.52,36.08
113,Trinidad and Tobago,CONCACAF,0.98,1.38,35.63
114,Sierra Leone,CAF,1.04,1.48,35.14
115,Mozambique,CAF,0.89,1.32,34.62
116,Madagascar,CAF,1.06,1.56,34.28
117,Guinea-Bissau,CAF,0.9,1.36,34.11
118,Azerbaijan,UEFA,0.95,1.43,34.08
119,Vietnam,AFC,0.93,1.4,34.01
120,Sudan,CAF,0.91,1.41,33.35
121,Rwanda,CAF,0.75,1.2,33.14
122,Cuba,CONCACAF,0.85,1.34,33.12
123,Nicaragua,CONCACAF,1.03,1.6,32.77
124,Central African Republic,CAF,1.09,1.7,32.28
125,Palestine,AFC,0.89,1.46,31.93
126,Burundi,CAF,0.84,1.41,31.72
127,Faroe Islands,UEFA,1.01,1.64,31.63
128,Malawi,CAF,0.79,1.34,31.35
129,Kuwait,AFC,0.84,1.42,31.31
130,Lithuania,UEFA,0.99,1.65,30.99
131,Latvia,UEFA,1.01,1.7,30.61
132,Niger,CAF,1.16,1.94,29.8
133,Lebanon,AFC,0.74,1.37,29.56
134,Swaziland,CAF,0.85,1.54,29.32
135,Bermuda,CONCACAF,1.3,2.18,29.18
136,North Korea,AFC,0.87,1.59,28.99
137,Moldova,UEFA,0.87,1.63,28.44
138,Mauritania,CAF,0.75,1.48,27.98
139,Kazakhstan,UEFA,0.85,1.63,27.89
140,Martinique,CONCACAF,0.99,1.85,27.58
141,Liberia,CAF,0.79,1.56,27.57
142,Syria,AFC,1.06,1.97,27.32
143,Kyrgyzstan,AFC,1.04,1.94,27.31
144,Cyprus,UEFA,0.84,1.66,27.12
145,Thailand,AFC,0.84,1.67,27.03
146,Fiji,OFC,0.67,1.45,26.35
147,Dominican Republic,CONCACAF,0.75,1.6,25.91
148,St. Kitts and Nevis,CONCACAF,0.94,1.99,24.47
149,Tajikistan,AFC,0.88,1.9,24.45
150,Turkmenistan,AFC,0.93,2.04,23.49
151,Chad,CAF,0.8,1.86,23.2
152,Solomon Islands,OFC,0.69,1.71,22.71
153,South Sudan,CAF,0.7,1.74,22.54
154,Malta,UEFA,0.79,1.88,22.53
155,Lesotho,CAF,0.7,1.81,21.64
156,Zanzibar,CAF,0.49,1.47,21.39
157,New Caledonia,OFC,0.69,1.85,20.92
158,Eritrea,CAF,0.79,2.1,19.77
159,Puerto Rico,CONCACAF,0.71,1.99,19.56
160,Tahiti,OFC,0.81,2.15,19.56
161,Guyana,CONCACAF,0.94,2.38,19.36
162,Barbados,CONCACAF,0.55,1.72,19.32
163,India,AFC,0.54,1.8,18.05
164,Grenada,CONCACAF,0.6,1.92,17.96
165,Antigua and Barbuda,CONCACAF,0.89,2.42,17.86
166,Philippines,AFC,0.65,2.1,16.85
167,Sao Tome and Principe,CAF,0.8,2.4,16.54
168,Vanuatu,OFC,0.64,2.17,15.99
169,Hong Kong,AFC,0.41,1.72,15.92
170,Belize,CONCACAF,0.66,2.2,15.89
171,Montserrat,CONCACAF,0.82,2.54,15.46
172,Mauritius,CAF,0.64,2.27,14.88
173,Malaysia,AFC,0.68,2.34,14.88
174,Dominica,CONCACAF,0.51,2.04,14.71
175,St. Vincent and the Grenadines,CONCACAF,0.62,2.28,14.42
176,Afghanistan,AFC,0.59,2.35,13.29
177,Andorra,UEFA,0.43,2.02,13.28
178,St. Lucia,CONCACAF,0.47,2.19,12.3
179,French Guiana,CONCACAF,0.66,2.58,12.28
180,Indonesia,AFC,0.73,2.76,12.01
181,Nepal,AFC,0.56,2.42,11.98
182,Yemen,AFC,0.42,2.15,11.81
183,Singapore,AFC,0.53,2.48,11.06
184,Gibraltar,UEFA,0.47,2.57,9.35
185,Guadeloupe,CONCACAF,0.51,2.69,9.22
186,Papua New Guinea,OFC,0.6,2.88,9.16
187,Liechtenstein,UEFA,0.44,2.54,9.12
188,Somalia,CAF,0.52,2.76,8.89
189,Djibouti,CAF,0.64,3.27,7.39
190,Seychelles,CAF,0.42,2.88,6.74
191,Aruba,CONCACAF,0.54,3.25,6.45
192,Bahamas,CONCACAF,0.5,3.17,6.34
193,Myanmar,AFC,0.53,3.32,5.97
194,Cayman Islands,CONCACAF,0.36,2.95,5.68
195,Mongolia,AFC,0.25,2.7,5.46
196,San Marino,UEFA,0.33,2.98,5.22
197,Maldives,AFC,0.37,3.18,4.89
198,Bangladesh,AFC,0.22,2.82,4.6
199,Chinese Taipei,AFC,0.45,3.59,4.23
200,Cambodia,AFC,0.35,3.31,4.21
201,Bonaire,CONCACAF,0.44,3.58,4.17
202,Guam,AFC,0.49,4.18,2.92
203,Northern Mariana Islands,AFC,0.5,4.2,2.91
204,Brunei,AFC,0.21,3.71,2.13
205,Sri Lanka,AFC,0.28,4.0,2.0
206,Pakistan,AFC,0.2,3.92,1.71
207,St. Martin,CONCACAF,0.28,4.25,1.64
208,Anguilla,CONCACAF,0.23,4.22,1.47
209,Laos,AFC,0.2,4.11,1.45
210,US Virgin Islands,CONCACAF,0.2,4.25,1.28
211,British Virgin Islands,CONCACAF,0.27,4.57,1.2
212,Bhutan,AFC,0.22,4.62,0.98
213,Turks and Caicos Islands,CONCACAF,0.46,5.62,0.87
214,Cook Islands,OFC,0.2,4.72,0.85
215,Tuvalu,OFC,0.38,5.62,0.7
216,Timor-Leste,AFC,0.26,5.33,0.62
217,Macau,AFC,0.2,5.11,0.6
218,Sint Maarten,CONCACAF,0.22,5.59,0.43
219,Samoa,OFC,0.2,5.78,0.34
220,Tonga,OFC,0.2,6.08,0.26
